AgentID	Genome	motor_NN_on	learning_on
Mouse_318	[ 0.64  0.89  0.51  0.03  0.41]	True	True
Mouse_319	[ 0.88  0.7   0.13  0.62  0.59]	True	True
Mouse_32	[ 0.13  0.26  0.5   0.75  0.9 ]	False	False
Mouse_320	[ 0.42  0.53  0.71  0.93  0.96]	True	True
Mouse_321	[ 0.87  0.8   0.2   0.51  0.9 ]	True	True
Mouse_322	[ 0.42  0.28  0.05  0.69  0.46]	True	True
Mouse_323	[ 0.66  0.51  0.16  0.43  0.61]	True	True
Mouse_324	[ 0.28  0.1   0.34  0.48  0.53]	True	True
Mouse_325	[ 0.52  0.41  0.36  0.86  0.11]	True	True
Mouse_326	[ 0.18  0.39  0.01  0.18  0.1 ]	True	True
Mouse_327	[ 0.09  0.17  0.79  0.21  0.29]	True	True
Mouse_328	[ 0.22  0.82  0.05  0.74  0.  ]	True	True
Mouse_329	[ 0.25  0.12  0.71  0.4   0.48]	True	True
Mouse_33	[ 0.44  0.38  0.73  0.04  0.27]	False	False
Mouse_330	[ 0.53  0.78  0.41  0.22  0.11]	True	True
Mouse_331	[ 0.46  0.54  0.61  0.12  0.61]	True	True
Mouse_332	[ 0.48  0.02  0.72  0.26  0.96]	True	True
Mouse_333	[ 0.21  0.64  0.89  0.49  0.11]	True	True
Mouse_334	[ 0.61  0.13  0.27  0.11  0.36]	True	True
Mouse_335	[ 0.61  0.89  0.18  0.59  0.26]	True	True
Mouse_336	[ 0.36  0.69  0.31  0.39  0.26]	True	True
Mouse_337	[ 0.34  0.3   0.36  0.67  0.25]	True	True
Mouse_338	[ 0.99  0.51  0.7   0.74  0.38]	True	True
